Division, NPC, 2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 
Central Police Division, Bukit Merah East NPC,66,76,65,60,73,97,89,55,83,103,95,84,124
Central Police Division, Marina Bay NPC,158,152,90,77,147,156,134,81,112,113,92,106,125
Central Police Division, Rochor NPC,73,96,72,76,84,94,89,80,109,126,146,147,124
Clementi Police Division, Bukit Merah West NPC,33,43,41,54,52,52,64,64,48,66,82,105,135
Clementi Police Division, Clementi NPC,31,31,32,43,48,40,50,37,54,71,60,81,73
Clementi Police Division, Jurong East NPC,45,52,45,46,62,56,64,40,52,68,73,67,83
Clementi Police Division, Queenstown NPC,43,43,71,60,69,65,66,62,52,57,84,93,89
Tanglin Police Division, Bishan NPC,29,25,37,19,22,44,29,35,29,35,57,43,67
Tanglin Police Division, Bukit Timah NPC,31,31,33,29,39,41,25,27,29,40,38,48,32
Tanglin Police Division, Kampong Java NPC,36,31,45,39,35,33,38,32,43,51,63,65,52
Tanglin Police Division, Orchard NPC,129,137,66,62,156,185,158,124,108,138,135,162,156
Tanglin Police Division, Toa Payoh NPC,53,50,49,53,69,50,51,49,51,60,77,88,116
Ang Mo Kio Police Division, Ang Mo Kio North NPC,28,34,35,35,26,34,34,37,31,45,42,61,74
Ang Mo Kio Police Division, Ang Mo Kio South NPC,34,26,30,13,40,44,35,38,39,41,35,71,59
Ang Mo Kio Police Division, Hougang NPC,48,68,57,51,71,67,55,61,95,55,84,119,128
Ang Mo Kio Police Division, Punggol NPC,39,51,44,43,53,33,30,33,25,14,20,na,na
Ang Mo Kio Police Division, Sembawang NPC,na,na,na,na,na,32,36,22,17,34,31,57,39
Ang Mo Kio Police Division, Sengkang NPC,62,68,83,56,67,61,72,42,51,57,54,87,115
Ang Mo Kio Police Division, Serangoon NPC,33,56,38,25,27,49,29,41,34,46,35,66,72
Ang Mo Kio Police Division, Yishun North NPC,na,na,na,na,na,64,61,45,49,50,74,72,91
Ang Mo Kio Police Division, Yishun South NPC,na,na,na,na,na,38,32,35,39,24,28,47,47
Ang Mo Kio Police Division, Woodleigh NPC,13,na,na,na,na,na,na,na,na,na,na,na,na
Bedok Police Division, Bedok NPC,78,91,80,64,86,88,86,92,103,150,173,218,199
Bedok Police Division, Changi NPC,36,47,32,14,22,52,31,24,36,48,68,59,76
Bedok Police Division, Geylang NPC,79,90,73,76,89,106,104,123,143,191,234,273,260
Bedok Police Division, Marine Parade NPC,36,39,32,36,36,39,35,44,47,39,62,52,77
Bedok Police Division, Pasir Ris NPC,36,39,33,27,32,36,23,37,33,49,59,64,84
Bedok Police Division, Tampines NPC,54,61,56,42,56,55,58,57,76,85,99,98,134
Jurong Police Division, Bukit Batok NPC,61,42,52,46,52,62,50,49,54,44,74,67,114
Jurong Police Division, Bukit Panjang NPC,34,28,32,36,30,46,30,38,47,44,49,56,55
Jurong Police Division, Choa Chu Kang NPC,53,50,61,63,71,56,47,56,80,60,95,82,120
Jurong Police Division, Jurong West NPC,57,57,63,46,51,62,59,68,78,100,97,130,129
Jurong Police Division, Nanyang NPC,61,66,54,57,59,79,64,67,64,78,119,97,140
Jurong Police Division, Woodlands NPC,na,na,na,na,na,na,na,na,na,na,na,na,241
Jurong Police Division, Woodlands East NPC,na,na,na,na,na,51,60,51,50,107,93,114,na
Jurong Police Division, Woodlands West NPC,na,na,na,na,na,59,70,63,82,91,87,118,na
Woodlands Police Division, Woodlands East NPC,36,35,45,47,56,2,na,na,na,na,na,na,na
Woodlands Police Division, Woodlands West NPC,40,35,38,43,53,7,na,na,na,na,na,na,na
Woodlands Police Division, Yishun North NPC,37,43,42,59,64,6,na,na,na,na,na,na,na
Woodlands Police Division, Yishun South NPC,10,18,26,26,18,1,na,na,na,na,na,na,na
Woodlands Police Division, Sembawang NPC,33,38,35,46,27,2,na,na,na,na,na,na,na
Woodlands Police Division, Checkpoint,0,3,4,6,0,0,na,na,na,na,na,na,na

,,,,,,,,,,,,,
Theme: Society,,,,,,,,,,,,,
Subject: Public Safety,,,,,,,,,,,,,
Topic: Crimes and Offences,,,,,,,,,,,,,
"Table Title: Five Preventable Crime Cases Recorded By Neighbourhood Police Centre (NPC), Annual",,,,,,,,,,,,,
,,,,,,,,,,,,,

,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
