Name,Latitude,Longitude,Planning Area
ORCHARD MRT STATION,1.30398101334,103.832241452,Orchard
OUTRAM PARK MRT STATION,1.27973970676,103.839513521,Outram
PASIR PANJANG MRT STATION,1.27621352269,103.791350313,Queenstown
PASIR RIS MRT STATION,1.37304321199,103.949284605,Pasir Ris
PAYA LEBAR MRT STATION,1.3172473855,103.892260754,Geylang
PIONEER MRT STATION,1.3375868822,103.697321513,Jurong West
POTONG PASIR MRT STATION,1.33137952462,103.869055665,Toa Payoh
PROMENADE MRT STATION,1.29289175425,103.8608918,Downtown Core
PUNGGOL MRT STATION,1.40454672779,103.902072638,Puggol
QUEENSTOWN MRT STATION,1.29455085173,103.806077156,Tanglin
RAFFLES PLACE MRT STATION,1.28412561057,103.851461712,Downtown Core
REDHILL MRT STATION,1.28963453338,103.81674097,Bukit Merah
ROCHOR MRT STATION,1.30385218548,103.852769429,Rochor
SEMBAWANG MRT STATION,1.44905082123,103.820046141,Sembawang
SENGKANG MRT STATION,1.3916946261,103.895484694,Sengkang
SERANGOON MRT STATION,1.35063361483,103.872771661,Serangoon
SHENTON WAY MRT STATION,1.27773021973,103.850405709,Downtown Core
SIGLAP MRT STATION,1.30999484426,103.930297049,Bedok
SIMEI MRT STATION,1.34320289493,103.953371694,Tampines
SIXTH AVENUE MRT STATION,1.33085764535,103.796906839,Bukit Timah
SOMERSET MRT STATION,1.30025287693,103.839158337,River Valley
SPRINGLEAF MRT STATION,1.39757790701,103.817799543,Yishun
STADIUM MRT STATION,1.30281246884,103.875337711,Kallang
STEVENS MRT STATION,1.32006555791,103.826024402,Novena
SUNGEI BEDOK MRT STATION,1.32039875927,103.957242034,Tampines
TAI SENG MRT STATION,1.33510208536,103.888433013,Geylang
TAMPINES EAST MRT STATION,1.35619148304,103.954634463,Tampines
TAMPINES MRT STATION,1.35330153288,103.945144689,Tampines
TAMPINES WEST MRT STATION,1.3455153053,103.938436971,Tampines
TAN KAH KEE MRT STATION,1.32555623509,103.807760305,Bukit Timah
TANAH MERAH MRT STATION,1.32718713454,103.946346461,Tampines
TANJONG KATONG MRT STATION,1.2992544132,103.897377093,Marine Parade
TANJONG PAGAR MRT STATION,1.27660448672,103.845952195,Outram
TANJONG RHU MRT STATION,1.29721821836,103.873488357,Marina East
TELOK AYER MRT STATION,1.28206894778,103.848648781,Downtown Core
TELOK BLANGAH MRT STATION,1.27070647762,103.809761611,Bukit Merah
TIONG BAHRU MRT STATION,1.28619457933,103.82699894,Bukit Merah
TOA PAYOH MRT STATION,1.33262898712,103.847501764,Novena
TUAS CRESCENT MRT STATION,1.32102655324,103.649075477,Pioneer
TUAS LINK MRT STATION,1.34086609564,103.636985602,Pioneer
TUAS WEST ROAD MRT STATION,1.32998908905,103.639614056,Pioneer
UBI MRT STATION,1.3299746288,103.899226655,Geylang
